fontecontato,ranking,score,idusuarioinclusao,idinterno,tipopessoa,cnpjcpf
Indicação,0,,1328,1258444,Jurídica,57006264000170
Indicação,0,,1527,1488086,Jurídica,04726786000180
ERP,1,1.0,1187,842664,Jurídica,84683374000300
ERP,1,1.0,1187,844420,Jurídica,12547214000161
ERP,1,1.0,1187,1630248,Jurídica,32567460000192
ERP,0,,1187,1626539,Jurídica,45493772000140
ERP,0,,1187,1554783,Jurídica,57159923000108
Indicação,0,,1331,3192641,Jurídica,29083923000136
ERP,1,1.0,1187,843635,Jurídica,08202868000186
ERP,1,1.0,1187,1659965,Jurídica,29958609000311
ERP,5,,1187,1658803,Jurídica,09149833000193
ERP,0,,1187,841811,Jurídica,57563694000192
Ações de Marketing (Feira),0,,1718,1431132,Jurídica,18072530000100
Ações de Marketing (Feira),0,,1718,1431790,Jurídica,57576274000140
Ações de Marketing (Feira),0,,1718,1435056,Jurídica,58619131000131
ERP,1,1.0,1187,843450,Jurídica,13781431000184
Indicação,0,,1328,914663,Jurídica,15870295000124
ERP,1,1.0,1187,843200,Jurídica,13042610000108
Indicação,0,,1328,1262100,Jurídica,04215558000145
Indicação,0,,1328,1184483,Jurídica,09297569000135
ERP,0,,1187,845422,Jurídica,54363569000140
ERP,1,1.0,1187,841667,Jurídica,89420590000115
ECONODATA,0,,1752,1665181,Jurídica,34019532000192
ERP,1,1.0,1187,844503,Jurídica,91495499000453
Indicação,5,,1328,1464202,Jurídica,07097542000173
Indicação,0,,1328,917634,Jurídica,86375011000171
Indicação,0,,1328,1272048,Jurídica,00056633000111
Ligação / Visita Receptiva/ Cliente Contatou,2,,1242,1658315,Jurídica,11877189000111
ECONODATA,0,,1752,1656572,Jurídica,34710219000104
ERP,1,1.0,1187,843479,Jurídica,59199125000135
ERP,1,1.0,1187,842165,Jurídica,05364486000160
Ações de Marketing (Feira),0,,1216,1402933,Jurídica,58619750000126
ERP,1,1.0,1187,841457,Jurídica,65582355000181
ERP,0,,1187,842408,Jurídica,05001206000150
ERP,0,,1187,841820,Jurídica,62018718000162
ERP,1,1.0,1187,842258,Jurídica,07024562000114
ERP,1,1.0,1187,845164,Jurídica,39003660000161
ERP,0,,1187,842596,Jurídica,04040133000142
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1414504,Jurídica,21491336000174
ERP,0,,1187,845493,Jurídica,54368212000155
ERP,1,1.0,1187,842140,Jurídica,03417699000188
ERP,1,1.0,1187,844226,Jurídica,03798037000103
ERP,0,,1187,844454,Jurídica,09383272000192
Ligação / Visita Receptiva/ Cliente Contatou,0,,1350,1310211,Jurídica,26213276000141
ERP,0,,1187,842631,Jurídica,68159128000136
ERP,1,1.0,1187,842262,Jurídica,07820147000177
ERP,1,1.0,1187,844495,Jurídica,88613856000183
ECONODATA,0,,1752,1629447,Jurídica,08306266000179
ERP,1,1.0,1187,841142,Jurídica,87203121000119
ECONODATA,0,,1718,1492815,Jurídica,
ERP,0,,1187,841372,Jurídica,60643863000109
Ações de Marketing (Internet/Site),0,,1328,1186290,Jurídica,79218400000128
Indicação,0,,1328,1271938,Jurídica,00738459000197
ERP,1,1.0,1187,844487,Jurídica,01483531000145
ERP,1,1.0,1187,845106,Jurídica,01176518000143
ERP,1,1.0,1187,1217699,Jurídica,03243927000140
ECONODATA,0,,1752,1643289,Jurídica,31302671000130
ERP,1,1.0,1187,844234,Jurídica,07448949000106
Indicação,0,,1328,918426,Jurídica,05521150000164
ERP,0,,1187,843365,Jurídica,57330961000181
ERP,1,1.0,1187,844944,Jurídica,18887850000119
ERP,1,1.0,1187,842272,Jurídica,09390027000102
Ações de Marketing (Feira),0,,1718,1430161,Jurídica,02308456000149
ERP,1,1.0,1187,843831,Jurídica,84229624000175
Indicação,0,0.0,1427,1228554,Jurídica,93579654000100
ERP,1,1.0,1187,928530,Jurídica,26564052000184
ERP,1,1.0,1187,843063,Jurídica,10576850000196
Indicação,0,,1226,1467835,Jurídica,72032675000123
ECONODATA,0,,1752,1656642,Jurídica,97548690000150
ERP,1,1.0,1187,1810568,Jurídica,12138252000160
ECONODATA,0,,1752,1534932,Jurídica,32480045000105
Ligação / Visita Receptiva/ Cliente Contatou,0,,1718,1531159,Jurídica,31343750000190
ERP,1,1.0,1187,842073,Jurídica,00466209000145
ECONODATA,0,,1186,1524156,Filial,19432513000108
ERP,1,1.0,1187,1659964,Jurídica,29958609000150
Indicação,0,,1328,1316272,Jurídica,12309838000140
Indicação,0,,1328,1641685,Jurídica,15547105000132
ECONODATA,0,,1752,1534750,Jurídica,12713267000105
ERP,1,1.0,1187,844444,Jurídica,73070294000100
ERP,1,1.0,1187,845155,Jurídica,16806890000163
ERP,1,1.0,1187,842871,Jurídica,92782705000126
Ações de Marketing (Internet/Site),0,,1225,917812,Jurídica,06304080000155
ECONODATA,0,,1752,1524638,Jurídica,15367478000121
ECONODATA,0,,1752,1534742,Jurídica,10175707000192
ERP,1,1.0,1187,844924,Jurídica,21180653000170
Indicação,0,,1328,918188,Jurídica,13550472000160
Ações de Marketing (Internet/Site),0,,1328,1418707,Jurídica,03281950000472
ECONODATA,0,,1186,1524142,Jurídica,11544630000143
ECONODATA,0,,1752,1629303,Jurídica,18470420000105
Indicação,0,,1328,916513,Jurídica,72071541000111
ECONODATA,0,,1752,1656627,Jurídica,33516805000141
ERP,2,1.0,1187,1665119,Jurídica,04244055000106
ERP,1,1.0,1187,1210940,Jurídica,00504474000170
ERP,2,1.0,1187,843080,Jurídica,06972724000183
ERP,1,1.0,1328,918138,Jurídica,10196957000109
Indicação,0,,1328,917144,Jurídica,95799201000107
ECONODATA,0,,1186,1524170,Jurídica,33563720000114
ERP,1,1.0,1187,841552,Jurídica,02251646000177
Indicação,0,,1328,1313716,Jurídica,16946389000100
Ações de Marketing (Internet/Site),0,,1328,1184574,Jurídica,93168409000100
Ações de Marketing (Internet/Site),0,,1328,953640,Jurídica,00315504000109
ECONODATA,0,,1752,1603489,Jurídica,29633638000141
Ações de Marketing (Feira),0,,1328,914153,Jurídica,17328208000137
ECONODATA,0,,1752,1665144,Filial,29827198000163
ERP,1,1.0,1187,843023,Jurídica,03403941000164
Ações de Marketing (Internet/Site),0,,1328,1185563,Jurídica,09607810000185
Indicação,0,,1328,1313491,Jurídica,02326750000183
ERP,1,1.0,1187,841396,Jurídica,03532453000157
ECONODATA,0,,1752,1651615,Jurídica,74063009000188
Indicação,0,,1328,1398027,Jurídica,32286276000174
Ações de Marketing (Internet/Site),0,,1328,953278,Jurídica,86798089000107
ECONODATA,0,,1752,1629285,Jurídica,10515650000123
Indicação,0,,1328,916683,Jurídica,07080975000116
ECONODATA,0,,1752,1545883,Jurídica,06195532000108
ECONODATA,0,,1752,1534732,Jurídica,02245299000170
Ações de Marketing (Internet/Site),0,,1328,1184614,Jurídica,08738600000163
ECONODATA,0,,1752,1643291,Jurídica,32237959000131
ERP,1,1.0,1187,845002,Jurídica,21514865000146
Indicação,0,,1328,1280376,Jurídica,23700253000173
Indicação,0,,1328,915966,Jurídica,02903943000150
ECONODATA,0,,1752,1629305,Jurídica,20288340000177
ECONODATA,0,,1752,1603497,Jurídica,91013813000171
ECONODATA,0,,1752,1524642,Jurídica,17195937000162
ECONODATA,0,,1752,1534768,Jurídica,94583895000188
ECONODATA,0,,1752,1629315,Jurídica,32299688000149
